ID,Name,Abstract
121,"EEG Database","This data arises from a large study to examine EEG correlates of genetic predisposition to alcoholism. It contains measurements from 64 electrodes placed on the scalp sampled at 256 Hz"
122,"El Nino","The data set contains oceanographic and surface meteorological readings taken from a series of buoys positioned throughout the equatorial Pacific."
123,"Entree Chicago Recommendation Data","This data contains a record of user interactions with the Entree Chicago restaurant recommendation system."
124,"CMU Face Images","This data consists of 640 black and white face images of people taken with varying pose (straight, left, right, up), expression (neutral, happy, sad, angry), eyes (wearing sunglasses or not), and size"
125,"Insurance Company Benchmark (COIL 2000)","This data set used in the CoIL 2000 Challenge contains information on customers of an insurance company. The data consists of 86 variables and includes product usage data and socio-demographic data"
126,"Internet Usage Data","This data contains general demographic information on internet users in 1997."
127,"IPUMS Census Database","This data set contains unweighted PUMS census data from the Los Angeles and Long Beach areas for the years 1970, 1980, and 1990."
128,"Japanese Vowels","This dataset records 640 time series of 12 LPC cepstrum coefficients taken from nine male speakers."
129,"KDD Cup 1998 Data","This is the data set used for The Second International Knowledge Discovery and Data Mining Tools Competition, which was held in conjunction with KDD-98"
130,"KDD Cup 1999 Data","This is the data set used for The Third International Knowledge Discovery and Data Mining Tools Competition, which was held in conjunction with KDD-99"
131,"M. Tuberculosis Genes"," Data giving characteristics of each ORF (potential gene) in the M. tuberculosis bacterium. Sequence, homology (similarity to other genes) and structural information, and function (if known) are provided"
132,Movie,"This data set contains a list of over 10000 films including many older, odd, and cult films. There is information on actors, casts, directors, producers, studios, etc."
133,"MSNBC.com Anonymous Web Data","This data describes the page visits of users who visited msnbc.com on September 28, 1999. Visits are recorded at the level of URL category (see description) and are recorded in time order."
134,"NSF Research Award Abstracts 1990-2003","This data set consists of (a) 129,000 abstracts describing NSF awards for basic research, (b) bag-of-word data files extracted from the abstracts, (c) a list of words used for indexing the bag-of-word"
135,"Pioneer-1 Mobile Robot Data","This dataset contains time series sensor readings of the Pioneer-1 mobile robot. The data is broken into "experiences" in which the robot takes action for some period of time and experiences a control"
136,"Pseudo Periodic Synthetic Time Series","This data set is designed for testing indexing schemes in time series databases. The data appears highly periodic, but never exactly repeats itself."
137,"Reuters-21578 Text Categorization Collection","This is a collection of documents that appeared on Reuters newswire in 1987. The documents were assembled and indexed with categories."
138,"Robot Execution Failures","This dataset contains force and torque measurements on a robot after failure detection. Each failure is characterized by 15 force/torque samples collected at regular time intervals"
139,"Synthetic Control Chart Time Series","This data consists of synthetically generated control charts."
140,"Syskill and Webert Web Page Ratings","This database contains HTML source of web pages plus the ratings of a single user on these web pages. Web pages are on four seperate subjects (Bands- recording artists; Goats; Sheep; and BioMedical)"
141,"UNIX User Data","This file contains 9 sets of sanitized user data drawn from the command histories of 8 UNIX computer users at Purdue over the course of up to 2 years."
142,"Volcanoes on Venus - JARtool experiment","The JARtool project was a pioneering effort to develop an automatic system for cataloging small volcanoes in the large set of Venus images returned by the Magellan spacecraft."
143,"Statlog (Australian Credit Approval)","This file concerns credit card applications. This database exists elsewhere in the repository (Credit Screening Database) in a slightly different form"
144,"Statlog (German Credit Data)","This dataset classifies people described by a set of attributes as good or bad credit risks. Comes in two formats (one all numeric). Also comes with a cost matrix"
145,"Statlog (Heart)","This dataset is a heart disease database similar to a database already present in the repository (Heart Disease databases) but in a slightly different form"
146,"Statlog (Landsat Satellite)","Multi-spectral values of pixels in 3x3 neighbourhoods in a satellite image, and the classification associated with the central pixel in each neighbourhood"
147,"Statlog (Image Segmentation)","This dataset is an image segmentation database similar to a database already present in the repository (Image segmentation database) but in a slightly different form."
148,"Statlog (Shuttle)","The shuttle dataset contains 9 attributes all of which are numerical. Approximately 80% of the data belongs to class 1"
149,"Statlog (Vehicle Silhouettes)","3D objects within a 2D image by application of an ensemble of shape feature extractors to the 2D silhouettes of the objects."
150,"Connectionist Bench (Nettalk Corpus)","The file "nettalk.data" contains a list of 20,008 English words, along with a phonetic transcription for each word. The task is to train a network to produce the proper phonemes"
151,"Connectionist Bench (Sonar, Mines vs. Rocks)","The task is to train a network to discriminate between sonar signals bounced off a metal cylinder and those bounced off a roughly cylindrical rock."
152,"Connectionist Bench (Vowel Recognition - Deterding Data)","Speaker independent recognition of the eleven steady state vowels of British English using a specified training set of lpc derived log area ratios."
153,"Economic Sanctions","Domain Theory on Economic Sanctions; Undocumented"
154,"Protein Data",Undocumented
155,Cloud,"Little Documentation"
156,"CalIt2 Building People Counts","This data comes from the main door of the CalIt2 building at UCI."
157,"Dodgers Loop Sensor","Loop sensor data was collected for the Glendale on ramp for the 101 North freeway in Los Angeles"
158,"Poker Hand","Purpose is to predict poker hands"
159,"MAGIC Gamma Telescope","Data are MC generated to simulate registration of high energy gamma particles in an atmospheric Cherenkov telescope"
160,"UJI Pen Characters","Data consists of written characters in a UNIPEN-like format"
161,"Mammographic Mass","Discrimination of benign and malignant mammographic masses based on BI-RADS attributes and the patient's age."
162,"Forest Fires","This is a difficult regression task, where the aim is to predict the burned area of forest fires, in the northeast region of Portugal, by using meteorological and other data (see details at: http://www.dsi.uminho.pt/~pcortez/forestfires)."
163,"Reuters Transcribed Subset","This dataset is created by reading out 200 files from the 10 largest Reuters  classes and using an Automatic Speech Recognition system to create  corresponding transcriptions."
164,"Bag of Words","This data set contains five text collections in the form of bags-of-words."
165,"Concrete Compressive Strength","Concrete is the most important material in civil engineering. The concrete compressive strength is a highly nonlinear function of age and ingredients. "
166,Hill-Valley,"Each record represents 100 points on a two-dimensional graph. When plotted in order (from 1 through 100) as the Y co-ordinate, the points will create either a Hill (a “bump” in the terrain) or a Valley (a “dip” in the terrain)."
167,Arcene,"ARCENE's task is to distinguish cancer versus normal patterns from mass-spectrometric data. This is a two-class classification problem with continuous input variables. This dataset is one of 5 datasets of the NIPS 2003 feature selection challenge."
168,Dexter,"DEXTER is a text classification problem in a bag-of-word representation. This is a two-class classification problem with sparse continuous input variables. This dataset is one of five datasets of the NIPS 2003 feature selection challenge. "
169,Dorothea,"DOROTHEA is a drug discovery dataset. Chemical compounds represented by structural molecular features must be classified as active (binding to thrombin) or inactive. This is one of 5 datasets of the NIPS 2003 feature selection challenge."
170,Gisette,"GISETTE is a handwritten digit recognition problem. The problem is to separate the highly confusible digits '4' and '9'. This dataset is one of five datasets of the NIPS 2003 feature selection challenge. "
171,Madelon,"MADELON is an artificial dataset, which was part of the NIPS 2003 feature selection challenge. This is a two-class classification problem with continuous input variables. The difficulty is that the problem is multivariate and highly non-linear. "
172,"Ozone Level Detection","Two ground ozone level data sets are included in this collection. One is the eight hour peak set (eighthr.data), the other is the one hour peak set (onehr.data). Those data were collected from 1998 to 2004 at the Houston, Galveston and Brazoria area."
173,"Abscisic Acid Signaling Network","The objective is to determine the set of boolean rules that describe the interactions of the nodes within this plant signaling network.  The dataset includes 300 separate boolean pseudodynamic simulations using an asynchronous update scheme. "
174,Parkinsons,"Oxford Parkinson's Disease Detection Dataset"
175,"Character Trajectories","Multiple, labelled samples of pen tip trajectories recorded whilst writing individual characters. All samples are from the same writer, for the purposes of primitive extraction. Only characters with a single pen-down segment were considered."
176,"Blood Transfusion Service Center","Data taken from the Blood Transfusion Service Center in Hsin-Chu City in Taiwan -- this is a classification problem. "
177,"UJI Pen Characters (Version 2)","A pen-based database with more than 11k isolated handwritten characters"
178,"Semeion Handwritten Digit","1593 handwritten digits from around 80 persons were scanned, stretched in a rectangular box 16x16 in a gray scale of 256 values."
179,SECOM,"Data from a semi-conductor manufacturing process"
180,Plants,"Data has been extracted from the USDA plants database. It contains all plants (species and genera) in the database and the states of USA and Canada where they occur."
181,"Libras Movement","The data set contains 15 classes of 24 instances each. Each class references to a hand movement type in LIBRAS (Portuguese name 'LÍngua BRAsileira de Sinais', oficial brazilian signal language)."
182,"Concrete Slump Test","Concrete is a highly complex material. The slump flow of concrete is not only determined by the water content, but that is also influenced by other concrete ingredients."
183,"Communities and Crime","Communities within the United States. The data combines socio-economic data from the 1990 US Census, law enforcement data from the 1990 US LEMAS survey, and crime data from the 1995 FBI UCR."
184,"Acute Inflammations","The data was created by a medical expert as a data set to test the expert system,  which will perform the presumptive diagnosis of two diseases of the urinary system. "
186,"Wine Quality","Two datasets are included, related to red and white vinho verde wine samples, from the north of Portugal. The goal is to model wine quality based on physicochemical tests (see [Cortez et al., 2009], http://www3.dsi.uminho.pt/pcortez/wine/)."
187,"URL Reputation","Anonymized 120-day subset of the ICML-09 URL data containing 2.4 million examples and 3.2 million features."
188,"p53 Mutants","The goal is to model mutant p53 transcriptional activity (active vs inactive) based on data extracted from biophysical simulations. "
189,"Parkinsons Telemonitoring","Oxford Parkinson's Disease Telemonitoring Dataset"
190,Demospongiae,"Marine sponges of the Demospongiae class classification domain."
191,"Opinosis Opinion &frasl; Review","This dataset contains sentences extracted from user reviews on a given topic. Example topics are â€œperformance of Toyota Camryâ€ and â€œsound quality of ipod nanoâ€. "
192,"Breast Tissue","Dataset with electrical impedance measurements of freshly excised tissue samples from the breast."
193,Cardiotocography,"The dataset consists of measurements of fetal heart rate (FHR) and uterine contraction (UC) features on cardiotocograms classified by expert obstetricians."
